"","flowLag1","dist","Origin","Destination","NumMonths","DestConflict","OrigConflict","DestFood","DestConflict3","OrigConflict3","OrigFood","DestFuel","OrigFuel"
"flowLag1",0.0410382444413547,0.0882900529647517,0.0885451709952805,0.0895296461017812,0.135871079002672,0.127115890073668,0.140036866978986,0.158578602291927,0.157510029950781,0.157802253152914,0.16362454228017,0.162059416982787,0.170077673489683
"dist",0.0726981109078405,0.0620344875240623,0.0798869588135979,0.0857722189060527,0.120326974198372,0.134942144499982,0.141326096370614,0.143264437652393,0.142097400694085,0.139998027473417,0.141302885043109,0.150844736835918,0.155161550607614
"Origin",0.0752489386021671,0.0840547283550699,0.0785035099489935,0.0845862699186049,0.113885041726632,0.127529296136155,0.134950874105816,0.132438164484743,0.137748974162457,0.137615022003244,0.128780315359437,0.139739171686824,0.146060034813529
"Destination",0.0799002650516009,0.0879297098427245,0.0771481005848602,0.107018575821361,0.112239657931633,0.120711300298454,0.119333206621119,0.118526325012415,0.128870595588511,0.128331759445617,0.117312282528685,0.122265761929177,0.122002855348725
"NumMonths",0.105746966028692,0.113287575060408,0.100038332818787,0.0984626457870071,0.138947956032641,0.176176179424404,0.173749367943531,0.162231098860234,0.184918030242256,0.185917800743102,0.158468533406178,0.165912530210364,0.165321976732941
"DestConflict",0.114254055314573,0.11829549750843,0.111196987671398,0.103278101946102,0.181979372505495,0.149440029312083,0.183878651512298,0.170287516540944,0.192672757482979,0.185599836235877,0.164595087370714,0.183227490011447,0.180880324906058
"OrigConflict",0.125279984676512,0.12752406494351,0.117402434471685,0.110255521004138,0.191096693098982,0.191459740970916,0.165108966332148,0.167441482189794,0.202694720417444,0.198045648824947,0.167893116272211,0.178404565467698,0.178176451536529
"DestFood",0.121474935647503,0.12572047408967,0.114395292573709,0.112701773602551,0.183961762049814,0.183376441473604,0.1769069497329,0.176466507620422,0.19132391358279,0.188596580921247,0.158327448071589,0.175299718792111,0.163494680551049
"DestConflict3",0.132457808062774,0.141766308437441,0.123973294313622,0.119871364518184,0.203563440789118,0.211685076317407,0.204419401282574,0.184927194415305,0.176888023526779,0.221262802909277,0.180491212067062,0.188965879453028,0.185925645865803
"OrigConflict3",0.136111031885697,0.139294378957218,0.12419009331383,0.119041433851704,0.207598945542276,0.21043401631355,0.21009917878759,0.18231777474638,0.222128113394884,0.182427003749704,0.177050672911428,0.18911314794096,0.182934978852268
"OrigFood",0.12608474272116,0.126828795095514,0.115619006346251,0.112169049758292,0.181159191328967,0.176808781272907,0.182941134978713,0.15503621857159,0.189959412409916,0.193706413838999,0.185257858663873,0.163990866486455,0.169160671316128
"DestFuel",0.130565163488379,0.132994916252367,0.11988813264916,0.114078596177309,0.182813421108027,0.189893580837583,0.18517074346056,0.16684433424613,0.200943313773953,0.199400610590371,0.163161892052063,0.195839783588482,0.164088259555389
"OrigFuel",0.133338265140433,0.135243889581351,0.123936459202133,0.117399357711432,0.190953245284127,0.194220672718235,0.195932574670771,0.16769090855395,0.198409172501046,0.200180800636412,0.169018785389877,0.163132573678472,0.205829500282924
